Private school % Children (Age 6-14) enrolled in private schools,Not in school % Girls (Age 11-14) not enrolled in school,Std III: Learning levels % Children who can read Std II level text,Std III: Learning levels % Children who can do at least subtraction,Std V: Learning levels % Children who can read Std II level text,Std V: Learning levels % Children who can do division,Std VIII: Learning levels % Children who can read Std II level text,Std VIII: Learning levels % Children who can do division,Number of schools visited 2016,PTR  & CTR % Schools complying with: Pupil-teacher ratio 2016,PTR  & CTR % Schools complying with: Classroom-teacher ratio 2016,School facilities % Schools that have: Office/store/office cum store 2016,School facilities % Schools that have: Playground 2016,Boundary wall 2016,Kitchen shed for cooking mid-day meal 2016,Drinking water available 2016,Toilet available and useable 2016,Girls’ toilet available and useable 2016,Total enrollment of 60 or less 2016,Std ll children observed sitting with one or more classes 2016,Std lV children observed sitting with one or more classes 2016,Library books available 2016,Library books being used by the children on day of visit 2016,Computer available for children 2016,Computer available and children observed using them on day of visit 2016,Mid-day meal served in school on day of visit 2016,% Households which have a pucca house 2016,% Households which have motorized two wheeler 2016,% Households which have an electric connection 2016,"Of households with electric connection, % households with electricity avilable on day of visit 2016",% Households which have a toilet 2016,% Households which have a television 2016,% Households which have a mobile phone 2016,% Households which have other reading material* 2016,% Households with at least one member who completed Std XII** 2016,% Households with at least one member who knows how to operate a computer 2016,2016 % Mothers with: No school- ing,2016 % Mothers with: Std I-V,2016 % Mothers with: Std VI-X,2016 % Mothers with: Above Std X,2016 % Fathers with: No school- ing,2016 % Fathers with: Std I-V,2016 % Fathers with: Std VI-X,2016 % Fathers with: Above Std X,Number 1to9,Number 11to99,Subtraction,Division,Govt,Pvt,Other,Out of School,Letter,Word,Std1 Para,Std2 Para
54.8,0.1,45.5,45.6,69.2,38.6,85.3,53,328,91.7,93.2,95.2,81.7,79.3,98.1,80.5,82,78.8,20.7,13,10.9,93.6,81.4,89,69.9,94.1,83.8,48.7,97.8,98.6,97.8,89.5,96,39.6,61.6,47.6,1.3,3.7,54.6,40.4,1.6,6.9,62.8,28.7,0.071,0.326,0.206,0.357,0.449,0.547,0.002,0.003,0.09,0.127,0.124,0.615
24.7,8.5,16.6,13.8,38.7,19.4,64.3,33.4,1458,51.5,64.2,67.9,66.4,39.7,85.7,73,58.5,45.9,31.7,78.2,71.1,79.5,40,2.5,0.3,88.4,25.1,37.7,84,80.8,45.6,47.6,71.5,24.2,27.7,13,56,18.1,22.2,3.6,31,16.7,38.3,14.1,0.241,0.285,0.152,0.2,0.686,0.235,0.001,0.078,0.214,0.111,0.123,0.407
38.3,1.9,40.7,23.9,62.5,20.3,75.8,31.5,781,77.1,80.5,36.6,89.9,74.4,95.6,67.1,67.9,62.4,25.8,50.3,45.9,83.7,45.9,55.1,17.8,94.5,48.7,44.8,93.1,90.7,62.1,74.8,84.7,24.2,44.5,30.4,20.4,13.7,50.1,15.7,11.8,14.2,45.8,28.2,0.181,0.36,0.202,0.184,0.542,0.439,0.002,0.017,0.117,0.1,0.148,0.548
71.7,2.1,32.2,59.7,70.7,52.5,91.4,78.6,180,93,22.5,76.6,46.5,9.5,51.5,15.3,43.8,24.5,58.1,44,41.3,11.7,3.3,15,4.4,49.4,13.6,27.5,94.2,83.8,96.8,62.3,80.7,42.3,46.6,33.8,29.7,11.8,40.6,17.9,15.1,8.8,47.3,28.8,0.082,0.342,0.212,0.325,0.268,0.712,0.001,0.019,0.219,0.164,0.135,0.432
55.2,2.6,19.3,22.2,47.9,10.7,85.8,31.4,129,49.6,90.5,44.3,55.7,6.8,86.7,19.8,51.9,38.5,69.9,60.3,59.3,28.7,22.5,1.7,0.9,47.9,14.8,12.9,83.5,82.2,79.6,44.7,52.3,70.8,19.4,13.3,38.3,26.7,29,6,41,19.1,32,8,0.134,0.465,0.224,0.096,0.403,0.543,0.013,0.04,0.199,0.207,0.192,0.32
30.9,2.6,10.3,36.9,46,27.7,83.5,76.5,222,68.7,74.3,81.9,55.8,26.7,93.6,64.7,40,25.3,57.3,27.7,27.8,9.1,3.6,5,0.9,91.7,5.4,28.1,96.1,92.5,86.5,75.7,68.7,87.1,28,17.6,15,28.8,48.2,8.1,9.2,23.9,51.1,15.8,0.11,0.275,0.295,0.26,0.643,0.309,0.016,0.032,0.185,0.214,0.179,0.35
42.4,1.7,15.5,42.7,50.1,21.2,88,65.7,300,97.1,57.5,86.9,53.8,40.8,84,22.6,50,40.9,52.9,11.9,10.7,17.4,8,14.6,3.1,24.6,7.4,18,96.2,87.2,91.6,52.7,69.1,77.3,23.6,22.1,26.1,17,49.3,7.6,20.3,13.9,50.9,14.9,0.099,0.359,0.267,0.201,0.55,0.417,0,0.033,0.156,0.261,0.158,0.346
8.9,3.7,35.4,33.9,51.6,26.6,72.6,39.6,840,50.3,72.8,79.9,29.2,47.4,87.8,77.7,75.5,65.8,30.8,80.1,71,82.1,61,15.5,6.4,98.1,29.9,31.4,81,91.8,37.9,48.7,63.9,20.3,28.9,13.8,38.1,18.2,36.8,7,25.1,18,41.9,14.9,0.162,0.267,0.231,0.258,0.864,0.091,0,0.045,0.128,0.131,0.129,0.517
51.6,1.2,35.1,48.8,69.2,47.9,86.3,58,546,67.8,65,81.1,68.8,91.9,96.9,81.9,80.1,75.4,32.7,55.4,50.2,91.8,49.4,8.9,3.2,95.2,76.2,74,99.3,98.3,93.3,94.8,90.6,15.2,54.3,45.5,23.2,13.9,41.9,21,15.7,10,47.4,27,0.102,0.258,0.229,0.377,0.482,0.498,0.001,0.019,0.114,0.107,0.12,0.597
39.2,9.7,23.7,21.5,54.2,28.2,80.9,46.7,919,65.2,78.4,91.9,64.6,82.4,90.8,70.1,83.2,79.8,19.5,73.5,63.9,86,40.2,34.9,10.5,91.8,65,46.4,84.8,90.2,54.4,52.4,82.9,19.7,34.7,22.6,67.9,13.3,15.3,3.5,29.2,13.9,40.2,16.7,0.189,0.238,0.173,0.295,0.551,0.377,0.004,0.069,0.15,0.091,0.117,0.517
32.7,0.6,17.7,24.8,45.2,21.4,71,44.8,708,52,82.1,54.6,71.2,72.9,97.9,82.4,79.3,76.2,36.7,71.1,64.4,84.3,60.6,57.5,33.1,99.2,84.6,61,97.9,96.8,53.1,93.6,86.3,7.1,39.3,29.8,18.7,15.2,48.7,17.4,16.5,14.6,50.4,18.6,0.078,0.323,0.263,0.272,0.674,0.315,0.002,0.01,0.102,0.154,0.172,0.475
9.7,1.4,28,36,51,19.9,75,32.6,111,85.2,52.9,92.5,81.7,39.5,99.1,59.1,65.8,40,24.6,42.2,20.4,50,39.1,10.1,1.8,98.2,13,23.2,91.9,94.4,90.5,69.6,78.3,35.2,28,21.3,18.3,21.3,52.4,8,12.9,22.3,50.5,14.3,0.172,0.323,0.279,0.179,0.882,0.097,0.003,0.018,0.166,0.174,0.158,0.447
52.1,9.9,22.5,23.2,43.2,22.6,67.9,37.4,1966,30.8,73.8,87.8,66.4,66.9,96.5,82,54.8,51.5,12.4,62.8,57.7,71.5,42.8,2.7,0.6,91.2,57.4,32.8,57,77.2,34.6,34.2,79.9,26.8,42.2,16.3,63.4,10.5,18.1,8,30.5,11.5,38.4,19.5,0.252,0.254,0.145,0.208,0.385,0.514,0.023,0.078,0.213,0.1,0.117,0.394
41.6,1.9,38.5,36.7,63.7,37,81.3,46,324,29.2,78.7,88.1,63.5,56.7,95.6,72.1,74.9,61.3,75,77.6,75,87,41.3,9.6,2.5,95,73.1,31.9,94,94.9,81.8,76.6,82.7,21.8,52.3,33.8,33.2,15.1,33.7,18,13.8,9.2,44.8,32.2,0.155,0.288,0.213,0.278,0.582,0.385,0.01,0.024,0.133,0.099,0.133,0.556
9.3,1.8,38.8,39.6,50.2,29,72.1,31.7,446,52.2,63.1,86.1,56.1,56.5,93.2,78.4,76.9,63,23.3,43.8,44,58.3,46.2,4.1,1.1,67.4,30.8,23.9,91.9,91.7,66.2,54.8,76.6,23.8,30.1,20.3,30.8,21.2,41.6,6.4,26.4,22.1,39.6,11.9,0.187,0.337,0.166,0.23,0.849,0.087,0.023,0.041,0.149,0.145,0.142,0.47
40.4,4.7,18.6,42.2,47.1,30.4,75.8,55.1,265,60.2,73,84.2,78,69.3,80.8,56.6,74.7,64.2,26.8,52.1,43.5,86.6,58.6,12.2,4.6,98.9,69,41.5,97.9,94.5,61.9,81.2,85.9,8.6,38.7,22.2,50.2,10.1,29.1,10.7,35.7,10.9,35.1,18.3,,,,,,,,,,,,
