Out of school % Children (Age 6-14) out of school,Word,% Mothers with: No school- ing,PTR  & CTR % Schools complying with: Pupil-teacher ratio,Boundary wall,Std ll children observed sitting with one or more classes,% of villages with the following characteristics Govt. sec. school,Pvt,% Fathers with: No school- ing,Kitchen shed for cooking mid-day meal,Private school % Children (Age 6-14) enrolled in private schools,Story,Std VII: Learning levels % Children who CAN DO DIVISION,Std V: Learning levels % Children who can do division,Para,% of households with the following characteristics Pukka,Library books being used by the children on day of visit,Letter,PTR  & CTR % Schools complying with: Classroom-teacher ratio,% Fathers with: Above Std X,School facilities % Schools that have: Playground,Std III-V : Learning levels % Children (Std III-V) who CAN DO SUBTRACTION or more,Std VI-VIII : Learning levels % Children (Std VI-VIII) who CAN DO DIVISION,Toilet available and useable,Not in school % Girls (Age 11-14) not enrolled in school,% of villages with the following characteristics Primary Health Centre,% Households with at least one member who knows how to operate a computer,% of villages with the following characteristics Post Office,Number of schools visited,Std V: Learning levels % Children who CAN READ ENGLISH SENTENCES,Total-2,Girls’ toilet available and useable,% Mothers with: Std VI-X,Total-1,% Households which have a mobile phone ,% of villages with the following characteristics Bank,% of villages with the following characteristics Electricity,Nothing-1,% of households with the following characteristics Computer usage,% of villages with the following characteristics Govt. prim school,Division,Std III: Learning levels % Children who can read Std II level text,Tuition % Children (Age 6-14) who attend paid tuition classes,Std III-V : Learning levels % Children (Std III-V) who CAN READ Std I level text or more,Std VII: Learning levels % Children who CAN READ ENGLISH SENTENCES,% of villages with the following characteristics Internet cafe,Number 1to9,% Fathers with: Std I-V,School facilities % Schools that have: Office/store/office cum store,Out of School,% Households which have a pucca house,% of households with the following characteristics Electricity,Other,% Mothers with: Std I-V,% of villages with the following characteristics Pukka Road,Nothing,Std III-V : Learning levels % Children (Std III-V) whoCAN READ Level 1 (Std 1 Text) or more,Std III: Learning levels % Children who can do at least subtraction,% of villages with the following characteristics Govt. middle school,Std V: Learning levels % Children who CAN DO at least SUBTRACTION,Std2 Para,"Std V: Learning levels Of those who can read English sentences, % children who CAN TELL MEANINGS of the sentences",% of villages with the following characteristics Private health clinic,% Households which have other reading material* ,Std VIII: Learning levels % Children who can do division,Not in school % Girls (Age 15-16) not enrolled in school,Computer available for children,% Households which have a television,% of households with the following characteristics Cable TV,Std V-VIII : Everyday calculations % Children answering both questions correctly Calendar,Std I-II : Learning levels % Children (Std I-II) who CAN READ letters or more,% Schools  that have: Teaching-Learning Material observed in Std 2 on day of visit,Out of school % Children (Age: 6-14) out of school,Std lV children observed sitting with one or more classes,Tuition % Children (Std IV- VIII) attending paid tuition classes,% of households with the following characteristics Newspaper,% of households with the following characteristics Toilet,Std V-VIII : Everyday calculations % Children answering both questions correctly Menu,% Fathers with: Std VI-X,% of villages with the following characteristics P.D.S,Number 11to99,Std VI-VIII : Learning levels % Children (Std VI-VIII) who CAN READ ENGLISH sentences,% of villages with the following characteristics Private school,% Households with at least one member who completed Std XII** ,% Schools  that have: Teaching-Learning Material observed in Std 4 on day of visit,Anganwadi or balwadi % Children (Age 3-4) in    anganwadi or pre- school,% of households with the following characteristics Mobile,% Households which have motorized two wheeler,% of households with the following characteristics Kutcha,Total enrollment of 60 or less,Table Names,% of households with the following characteristics Electricity today,Std I-II : Learning levels % Children (Std I-II) who CAN RECOG- NIZE NUM- BERS 1 to 9  or more,% Households which have an electric connection ,"Of households with electric connection, % households with electricity avilable on day of visit",% of households with the following characteristics Semi pukka,Std V: Learning levels % Children who can read Std II level text,% of households with the following characteristics Other reading material,% Mothers with: Above Std X,Govt,Drinking water available,% of households with the following characteristics T.V.,% Households which have a toilet,Library books available,% of villages with the following characteristics Aanganwadi/Pre school,"Std I-II : Learning levels % Children (Std I-II) who CAN READ letters, words or more",Std V-VIII : Everyday calculations % Children answering both questions correctly Estimation,Std I-II : Learning levels % Children (Std I-II) who CAN RECOGNIZE numbers (1-9) or more,Subtraction,Std III-V : Learning levels % Children (Std III-V) who CAN DO SUBTR- ACTION or more,% of villages with the following characteristics Solar energy,Total,Computer available and children observed using them on day of visit,Std V-VIII : Everyday calculations % Children answer- ing both questions correctly Area,Mid-day meal served in school on day of visit,"Std VII: Learning levels Of those who can read English sentences, % children who CAN TELL MEANINGS of the sentences",Std VIII: Learning levels % Children who can read Std II level text,Std1 Para
,0.139,39,70.4,73.7,80.4,,0.262,31.7,93,25.5,,29,,,,54.3,0.135,84.1,16.5,72,,,60.2,,,19,,712,21.2,1,55.1,39,1,78.5,,,0.128,,,0.201,,,,39.3,,0.11,14.7,78.7,0.032,36.1,,0.004,14.1,,0.092,,,,53.7,0.427,78.7,,3.8,,,39.5,77.3,,,,,,39.2,,,,,37.1,,0.357,,,36.5,,,,43.1,,22.3,Final2014.csv,,,95.3,90,,47.2,,7.9,0.702,81.2,,44.9,91.8,,,,,0.239,,,1,15.9,,98.9,73.5,,0.171
,0.141,0.9,96.6,77.7,11.5,,0.624,1.1,98.8,62.2,,52.7,,,,82.2,0.086,89.4,29.9,74.7,,,84.8,,,49.1,,265,68.5,1,80.2,53,1,94.4,,,0.045,,,0.362,,,,80,,0.061,6.8,96.5,0.002,90.4,,0.002,3.4,,0.036,,,,71.3,0.59,81.1,,29.2,,,89.8,92.5,,,,,,9.8,,,,,62.2,,0.317,,,63,,,,53.6,,30.5,Final2014.csv,,,98.7,98.1,,66.8,,42.7,0.371,83,,97.8,94.7,,,,,0.224,,,1,41.1,,74.6,87.1,,0.138
,0.113,58.7,48.6,40.2,77.8,,0.209,31.6,89.8,21.4,,24.1,,,,43.7,0.212,63,13.8,66.3,,,55.1,,,11,,1257,9.6,1,40.3,20.2,1,64.9,,,0.159,,,0.182,,,,18.3,,0.24,17.9,67.1,0.059,22.7,,0.002,18,,0.14,,,,31,0.393,54.5,,22.8,,,4.2,43.9,,,,,,69.3,,,,,36.8,,0.29,,,25.3,,,,33.7,,26.2,Final2014.csv,,,85.2,83.9,,34.1,,3.2,0.731,75.3,,28.5,84,,,,,0.148,,,1,0.9,,88.3,43.9,,0.122
,0.108,24.9,72.7,66.9,45.5,,0.417,14.1,92,36.9,,28.3,,,,36.4,0.119,85.3,26.7,88.3,,,66.3,,,28.5,,875,21.5,1,59.1,46.5,1,80.4,,,0.108,,,0.184,,,,38.9,,0.195,14.6,36.2,0.026,51,,0.001,15.9,,0.084,,,,41,0.52,54.8,,24.5,,,46.3,69.7,,,,,,40.2,,,,,44.6,,0.358,,,43.2,,,,41.2,,21.1,Final2014.csv,,,92.5,89.5,,53.5,,12.7,0.556,70.5,,52.6,82.6,,,,,0.179,,,1,14.7,,94.8,63.3,,0.144
,0.179,26.9,92.6,9.6,33.3,,0.732,12.5,52.8,73.3,,67,,,,2.8,0.204,36.1,29.1,51.4,,,53.1,,,25.2,,179,79.4,1,19.8,42.4,1,75.8,,,0.031,,,0.346,,,,92.8,,0.068,10.1,79.2,0.023,7.1,,0.005,14,,0.024,,,,85.3,0.443,74.1,,47.9,,,16.3,61.7,,,,,,31.3,,,,,48.3,,0.339,,,43.1,,,,27.8,,52.5,Final2014.csv,,,84.9,81.4,,66.6,,16.8,0.239,15.7,,96.5,18,,,,,0.224,,,1,5.1,,34.5,80.1,,0.144
,0.175,37.4,60,9.7,67.5,,0.515,39.4,83.3,51.7,,29.2,,,,22.1,0.165,67.3,9.6,54,,,38.8,,,15.5,,129,59.6,1,16.8,30.6,1,53,,,0.1,,,0.124,,,,78.5,,0.132,19.8,41.2,0.058,15.8,,0.016,26.3,,0.094,,,,60.9,0.356,64.7,,69.8,,,1.6,49.8,,,,,,61,,,,,31.2,,0.404,,,20.2,,,,14.4,,68.6,Final2014.csv,,,88.4,72.2,,58.3,,5.7,0.411,16.5,,76.3,23.6,,,,,0.247,,,1,0.8,,40.7,78.2,,0.205
,0.166,12,83.9,51.1,25.3,,0.395,6.2,94,40,,77.7,,,,6,0.229,77.3,12.6,72.2,,,33.7,,,15.5,,187,52.5,1,28.1,53.8,1,70,,,0.052,,,0.357,,,,79.9,,0.107,21.2,91.7,0.013,5.9,,0,27.6,,0.042,,,,87.4,0.387,59.9,,82.7,,,1.6,80.7,,,,,,25.3,,,,,60,,0.236,,,25.6,,,,27.5,,63.7,Final2014.csv,,,95.5,87.6,,52.1,,6.7,0.592,68.5,,91.9,16.9,,,,,0.259,,,1,0.5,,72,76.1,,0.165
,0.246,30.4,92.1,52.6,17.1,,0.383,21.9,79.2,38.9,,50.6,,,,5.5,0.162,73.9,15.5,43.8,,,68,,,20.3,,255,62.6,1,45,44.7,1,53.8,,,0.044,,,0.237,,,,85.7,,0.116,13.1,81,0.044,12.1,,0.001,17.4,,0.039,,,,80.4,0.34,74.6,,87,,,11.4,55.6,,,,,,17.2,,,,,49.5,,0.32,,,25.9,,,,24.3,,35.2,Final2014.csv,,,96.6,88.3,,41.6,,7.5,0.573,23.4,,94.9,14.6,,,,,0.288,,,1,5.5,,24.1,86.8,,0.208
,0.124,40.5,38.4,48.2,77.6,,0.093,24.6,82.8,8.5,,36.2,,,,65.6,0.143,68.8,14.9,32.4,,,63.2,,,12.8,,824,22.9,1,53.3,35,1,60.4,,,0.08,,,0.244,,,,39.7,,0.18,19,80.4,0.06,28.6,,0,17.8,,0.081,,,,47.3,0.531,55.3,,20.8,,,13.9,45.1,,,,,,67.1,,,,,41.6,,0.28,,,27.7,,,,27.7,,23.7,Final2014.csv,,,79.9,89.1,,51.9,,6.8,0.847,81.4,,21,88.2,,,,,0.215,,,1,5.8,,96.8,61.7,,0.123
,0.101,26.5,64,88.9,47.6,,0.484,18,94.5,49.5,,54.5,,,,39.7,0.121,69.3,24.6,70.6,,,79.2,,,46.8,,496,50.8,1,71.6,41.6,1,87.3,,,0.075,,,0.388,,,,66.7,,0.113,9,78.5,0.024,74.5,,0.001,13.8,,0.041,,,,69.1,0.595,65.9,,18.4,,,8.7,92.9,,,,,,42.3,,,,,48.5,,0.241,,,52.4,,,,71,,25.4,Final2014.csv,,,99.2,94.4,,66.5,,18.1,0.491,81,,90.8,88.7,,,,,0.216,,,1,2.2,,92.7,77.4,,0.108
,0.089,69.7,66.6,84.5,78.3,,0.405,29.1,89.8,42.1,,42.3,,,,38.8,0.154,72.2,18.1,62.6,,,81.5,,,22.6,,903,15.2,1,73.7,14.5,1,85.5,,,0.137,,,0.289,,,,32.6,,0.191,13.8,93.2,0.082,60.1,,0.003,12.6,,0.113,,,,45.9,0.504,50.7,,23.1,,,33.8,51.9,,,,,,65.9,,,,,39,,0.238,,,34.3,,,,43.3,,17.9,Final2014.csv,,,84.8,90.3,,46.7,,3.2,0.51,73.4,,36.8,87.8,,,,,0.169,,,1,8.2,,82.7,56.1,,0.116
,0.208,26.3,91.9,42.7,18.1,,0.3,16.2,97.3,31.3,,55.2,,,,40.8,0.102,78.6,17.7,91.9,,,73,,,43.4,,77,64.4,1,65.2,40.7,1,78.8,,,0.037,,,0.326,,,,87.3,,0.059,25.1,87.7,0.016,48.2,,0,24.1,,0.023,,,,78.2,0.464,81.8,,37,,,42.9,83.2,,,,,,18.8,,,,,41,,0.303,,,39.6,,,,12.2,,26.7,Final2014.csv,,,98.6,95.2,,43.4,,9,0.684,74,,96.9,55.3,,,,,0.288,,,1,24.7,,85.1,92.9,,0.189
,0.161,23.7,58.6,71,69.1,,0.305,17.4,97.5,31.9,,38,,,,52.3,0.1,74,17.8,66.2,,,79.8,,,30.1,,648,33.1,1,68.7,44.4,1,83.1,,,0.091,,,0.269,,,,48.7,,0.089,16.7,58.2,0.018,83.3,,0.001,17.4,,0.054,,,,63.2,0.48,72.3,,8.4,,,62.4,93,,,,,,64.6,,,,,48.2,,0.335,,,37.9,,,,54.5,,35.7,Final2014.csv,,,97.4,93.6,,46.9,,14.4,0.676,79.8,,41.2,86.5,,,,,0.253,,,1,27.1,,99.8,77.5,,0.167
,,56.6,58.5,58.9,57.3,,,40.5,76.1,,,,,,,65.6,,66.7,15.8,76.7,,,64.3,,,19.3,,264,,,54.2,26.9,,84.6,,,,,,,,,,,,,10,87,,48,,,8.7,,,,,,,,,,5.5,,,13.6,74.9,,,,,,46.3,,,,,33.7,,,,,33.2,,,,32.4,,19.7,Final2014.csv,,,96,88.5,,,,7.8,,61.2,,50.2,97.2,,,,,,,,,5.6,,99.6,,,
,0.188,18,81.4,28.2,43.7,,0.098,16.2,97.1,9.1,,38.4,,,,43.8,0.14,47.7,12,75.2,,,58.7,,,17.1,,105,26.6,1,57.1,50.9,1,66.3,,,0.059,,,0.226,,,,58.7,,0.162,25.5,87.6,0.014,6.9,,0.008,25.4,,0.038,,,,58.2,0.436,77.7,,43.3,,,7.8,67.6,,,,,,29.9,,,,,46.4,,0.304,,,24.5,,,,21.4,,21.9,Final2014.csv,,,90.2,96,,45.5,,5.7,0.88,56.2,,85.6,60,,,,,0.271,,,1,3.9,,97.1,67,,0.178
,0.104,62.7,19.9,64.3,62.8,,0.509,27,96,51.7,,37,,,,36.2,0.2,79.8,22.1,78.1,,,54.9,,,19.3,,1971,21.1,1,49.1,18,1,75,,,0.179,,,0.239,,,,34.1,,0.229,11.3,88.3,0.071,55.8,,0.023,11.5,,0.146,,,,46.7,0.414,53.5,,29.3,,,2.2,34.7,,,,,,59.1,,,,,39.6,,0.232,,,42.4,,,,32.7,,9.1,Final2014.csv,,,52.4,63.8,,44.7,,7.8,0.397,85.8,,34.2,74.6,,,,,0.154,,,1,0.3,,93.9,59.7,,0.103
,0.091,34.4,24.6,56.6,80.1,,0.354,12.9,97.3,37.5,,40.3,,,,36.9,0.132,86.1,33.1,68.1,,,69.2,,,30.4,,301,32,1,53.7,32.9,1,76.1,,,0.091,,,0.293,,,,44.1,,0.162,9.1,88.3,0.026,72.6,,0.007,16,,0.075,,,,54.4,0.567,69.3,,26.5,,,8.8,75.8,,,,,,76.9,,,,,45,,0.284,,,52.4,,,,27.8,,76.7,Final2014.csv,,,93.3,89.2,,60.6,,16.7,0.613,69.2,,74.5,85.9,,,,,0.185,,,1,2,,92.3,71.7,,0.119
,0.137,25.1,46.9,48.7,47.2,,0.084,20.4,95.4,8.8,,33.6,,,,43.6,0.14,68.6,12.9,50.7,,,70.8,,,19.3,,456,24.2,1,46.9,40.7,1,71.1,,,0.074,,,0.271,,,,32.2,,0.171,28.3,84.8,0.049,33,,0.025,28.4,,0.068,,,,56.1,0.51,68.6,,26.4,,,2,54.4,,,,,,36.4,,,,,38.5,,0.305,,,29,,,,20.7,,23.3,Final2014.csv,,,90,92.7,,53.2,,5.7,0.842,78.4,,60.9,66.3,,,,,0.185,,,1,1.5,,66.7,71.9,,0.139
,0.12,47.9,49.3,58.8,61.6,,0.307,24.9,88.1,30.8,,37.8,,,,40.7,0.156,72.8,19.2,65.3,,,65.2,,,21.8,,15236,24,1,55.7,28.6,1,75.6,,,0.135,,,0.253,,,,38.8,,0.18,15.1,76.6,0.051,47.3,,0.01,15,,0.107,,,,50.5,0.461,62.2,,23.3,,,19.6,55.8,,,,,,53.3,,,,,40.8,,0.274,,,36.4,,,,34.9,,24,Final2014.csv,,,80.5,86,,48.1,,8.4,0.631,75.6,,45.5,78.1,,,,,0.186,,,1,7,,85.1,66.3,,0.128
,0.1452,49.2,38.9,51,54.8,,0.2461,27.1,82.1,24.3,0.4741,,,0.1605,,37.9,0.1436,76.2,16.1,62,,,47.2,,,11.7,,14240,,1,32.9,26.7,1,64.8,,,0.0767,,,0.3581,,,,,,0.1539,16.8,74.1,0.0515,31.8,,0.0103,18.1,,0.0759,64,,,,,,,15.9,,,15.8,49.5,,50.9,76.6,,3.5,45.9,26.3,,,63.7,39.9,,0.1967,,,,,75.7,,,,17.3,Final_2010.csv,,76.6,70.6,61.3,,,,6,0.6921,72.7,,40.8,62.6,,,46.5,,0.2154,54.9,,1,8.6,38.1,84.6,,,
,0.1491,47.2,60,47.2,63.3,,0.3556,36.8,64.2,36.1,0.5202,,,0.1543,,77.6,0.1298,53.9,14.1,61.2,,,38.6,,,13.8,,374,,1,25.4,27.5,1,72.4,,,0.0467,,,0.3876,,,,,,0.1002,16.9,57,0.0548,61.6,,0.0031,20,,0.0402,69.8,,,,,,,9.2,,,9.3,74.5,,57.8,85.7,,3.3,55.3,18.3,,,66.8,32.2,,0.2333,,,,,81.5,,,,31.5,Final_2010.csv,,88.5,96.9,84.6,,,,5.3,0.5865,64.8,,53.2,92,,,50.9,,0.2388,63.7,,1,6.2,34.1,99.7,,,
,0.217,50,78,24.5,31.7,,0.1658,38.5,64,16.7,0.3288,,,0.1979,,6.3,0.2181,79.8,12.7,58.9,,,25.3,,,9.4,,259,,1,12.2,24.7,1,50.1,,,0.0382,,,0.2832,,,,,,0.1676,18.5,77.7,0.041,9.6,,0.0025,20.9,,0.0327,57.5,,,,,,,26.7,,,14.3,55.8,,45.7,92.1,,2.5,26.9,12.9,,,53,30.3,,0.2449,,,,,40.3,,,,33.9,Final_2010.csv,,93.7,79.3,64.7,,,,4.4,0.7907,53.2,,69,13,,,39,,0.2716,61.7,,1,8,28.1,47.1,,,
,0.1779,41.5,33.6,19.1,43.4,,0.1492,29,80.2,14.5,0.4078,,,0.178,,10.5,0.1496,67.7,13.7,61.5,,,33.1,,,7.3,,519,,1,13.7,35.6,1,59.5,,,0.0866,,,0.2577,,,,,,0.1851,17.7,57.5,0.0672,13.5,,0.0341,17.4,,0.0808,59.2,,,,,,,10.9,,,1.8,34.2,,47.9,75.5,,5,40.8,20.7,,,66.6,39.6,,0.237,,,,,73.9,,,,40.9,Final_2010.csv,,77.1,48.7,45.2,,,,5.6,0.7495,60.9,,47.1,20.8,,,46.2,,0.2395,46.5,,1,0.2,27.6,67.3,,,
