Private school % Children (Age 6-14) enrolled in private schools,Not in school % Girls (Age 11-14) not enrolled in school,Not in school % Girls (Age 15-16) not enrolled in school,Std III: Learning levels % Children who can read Std II level text,Std III: Learning levels % Children who can do at least subtraction,Std V: Learning levels % Children who can read Std II level text,Std V: Learning levels % Children who can do division,Std VIII: Learning levels % Children who can read Std II level text,Std VIII: Learning levels % Children who can do division,Number of schools visited 2018,PTR  & CTR % Schools complying with: Pupil-teacher ratio 2018,PTR  & CTR % Schools complying with: Classroom-teacher ratio 2018,School facilities % Schools that have: Office/store/office cum store 2018,School facilities % Schools that have: Playground 2018,Boundary wall 2018,Kitchen shed for cooking mid-day meal 2018,Drinking water available 2018,Toilet available and useable 2018,Total enrollment of 60 or less 2018,Std ll children observed sitting with one or more classes 2018,Std lV children observed sitting with one or more classes 2018,Library books available 2018,Library books being used by the children on day of visit 2018,Computer available for children 2018,Computer available and children observed using them on day of visit 2018,Mid-day meal served in school on day of visit 2018,% Households which have a pucca house 2018,% Households which have motorized two wheeler 2018,% Households which have an electric connection 2018,"Of households with electric connection, % households with electricity avilable on day of visit 2018",% Households which have a toilet 2018,% Households which have a television 2018,% Households which have a mobile phone 2018,% Households which have other reading material* 2018,% Households with at least one member who completed Std XII** 2018,% Households with at least one member who knows how to operate a computer 2018,2018 % Mothers with: No school- ing,2018 % Mothers with: Std I-V,2018 % Mothers with: Std VI-X,2018 % Mothers with: Above Std X,2018 % Fathers with: No school- ing,2018 % Fathers with: Std I-V,2018 % Fathers with: Std VI-X,2018 % Fathers with: Above Std X,Nothing,Number_1to9,Number_11to99,Subtraction,Division,Govt,Pvt,Other,Out_of_School,Nothing-1,Letter,Word,Std1_Para,Std2_Para
19,3.4,11.2,18.8,22.5,34.4,19,66.4,44,674,28.3,83.1,86.6,39.1,34.8,88.7,82.6,74.9,18.9,78.1,69.3,87.1,50.5,6.6,1.1,79,22.1,28,81.3,77.4,56.4,30.7,79.3,4.1,25.2,10.8,56.9,14.5,23.4,5.2,33,14.1,40.7,12.1,0.12,0.211,0.266,0.172,0.231,0.763,0.189,0.003,0.044,0.158,0.191,0.132,0.143,0.377
29.1,1.2,7.8,19.2,26.3,46,20.5,70.3,39,848,79.4,82.6,81.8,78.9,84.7,93,76.8,70.8,26.3,83.6,44.1,83,36.1,41.8,9.9,97.5,67.2,57.7,97.9,93.9,75.2,85.6,96.1,3.5,39.7,18.9,27.3,14.2,46.3,12.2,24.1,14.7,41.8,19.5,0.06,0.104,0.389,0.233,0.216,0.694,0.287,0.003,0.016,0.092,0.144,0.166,0.166,0.433
46.9,0.5,0.6,52.5,47.9,77.2,43.7,89.6,51.8,279,94.6,84.7,93.2,67.7,80.2,99.2,52.9,89.4,24.1,17,21,90,30.5,75.4,22.4,96.1,92.3,60.1,99.3,97.2,99.2,90.7,98.7,17.6,68.3,66.6,0.5,2.3,43.4,53.8,0.8,4.6,55.2,39.4,0.009,0.042,0.349,0.24,0.36,0.499,0.444,0.053,0.003,0.013,0.072,0.128,0.097,0.691
26.1,7.7,26.8,17.6,13.9,41.6,19.8,64.4,36.6,1451,49,71.3,70.7,69.2,44.7,85.7,71,68.3,33.8,82.6,75,84,43.8,3.8,0.7,82.9,30.8,41,92.1,87.5,72.2,53.6,84,5.5,26.8,12.8,52.5,19.2,24.2,4.1,28.8,16.9,40.7,13.6,0.109,0.239,0.292,0.147,0.213,0.678,0.245,0.001,0.076,0.135,0.211,0.107,0.12,0.426
37.6,1.6,5.1,42,27.2,66.4,30.2,80.2,40.5,927,77.6,83.7,38.7,86.8,74,94.9,70.9,70.1,26.4,49.8,44.5,88.4,36.9,64.6,19,94.7,57.7,51.3,95.5,90.3,78.1,78.8,92,11.4,47.5,30.8,17,13.6,51.4,18,10.8,12.4,46.1,30.7,0.058,0.167,0.339,0.199,0.236,0.555,0.43,0.001,0.014,0.062,0.116,0.097,0.148,0.576
70.4,1.6,5.4,35.8,58.5,67.5,50.5,86.5,72.5,158,92.9,23.6,72.9,59.7,14.4,61.6,6.5,44.9,63.6,43.9,38.4,9,3.2,9,3.2,46.4,12.8,27.5,96,94.7,96.6,66,88.1,11.5,43.9,26.1,25.3,12,44.8,18,12.4,8.7,49.1,29.7,0.005,0.025,0.315,0.226,0.43,0.282,0.692,0.003,0.023,0.009,0.106,0.159,0.167,0.559
58.6,2,9.2,24.6,19.2,50.1,7.2,82.8,28.1,143,45.2,78.1,47.5,54.4,12.7,84.5,15.5,44.8,69,77.3,75.6,10.6,2.8,2.1,0.7,47.9,15.4,14.9,87.9,87.8,85.1,45.9,70.9,19,20.8,12.4,40.3,25.9,28.5,5.2,41.9,20.3,29.8,8.1,0.025,0.1,0.508,0.266,0.101,0.347,0.572,0.004,0.077,0.024,0.155,0.189,0.196,0.435
27.2,0.2,3.7,25.6,58.9,64.3,40.2,89.4,71,233,75.4,69.1,84.1,65.5,35.5,96.1,57.4,44.6,84.1,2.2,1.7,17.6,2.6,9.9,0.4,89.2,7.3,32.5,96.2,81.1,87.5,78.9,84.5,11.9,26.9,20.5,9.2,25.2,56.6,9,5.9,17.1,61.2,15.9,0.04,0.068,0.22,0.329,0.343,0.724,0.267,0,0.009,0.043,0.076,0.179,0.211,0.491
48.6,2.6,6.4,22.6,36.9,48,25.8,83.6,51.3,289,97.6,56.1,82.4,52.1,36.4,83,27.3,61.8,61.3,11.4,11.7,12.9,6.9,13.2,2.4,27.4,11.1,18.1,96.6,86.4,96.9,57.8,87.3,11.1,24.6,20.1,27.7,19,46.6,6.7,19.4,15.8,52.6,12.2,0.022,0.063,0.383,0.292,0.24,0.49,0.475,0,0.035,0.025,0.105,0.231,0.204,0.435
10.5,2.1,12.3,38.7,30.9,58.4,25.4,72.6,42.5,812,55.8,72.9,84.9,31.9,50.5,89.9,82.9,75.7,31.3,78.9,69.8,80.3,54,18.7,6.1,98.8,37.7,38,88.6,90,55.7,55.4,78.6,4.8,29.8,12.7,35.2,17,40.4,7.3,24.2,17.3,43.9,14.6,0.086,0.164,0.302,0.197,0.25,0.865,0.103,0.001,0.031,0.092,0.111,0.136,0.125,0.536
